221, 102, 7
102, 168, 415
168, 168, 5092
168, 102, 410
102, 102, 115
102, 5, 4
5, 140, 11
140, 197, 5
197, 192, 23
192, 140, 9
140, 91, 11
91, 6, 32
6, 5, 57
6, 195, 8
195, 196, 30
196, 5, 13
91, 102, 10
168, 78, 37
78, 104, 14
104, 197, 1
197, 221, 1
102, 91, 12
6, 120, 1
120, 13, 2
13, 13, 74
13, 6, 2
6, 91, 39
91, 5, 96
5, 196, 12
5, 197, 34
197, 91, 10
5, 195, 32
195, 5, 26
5, 91, 68
91, 195, 16
5, 5, 199
196, 91, 15
91, 91, 45
195, 6, 6
6, 6, 20
196, 197, 1
197, 140, 1
91, 196, 11
196, 6, 3
195, 195, 217
195, 140, 2
140, 6, 1
91, 140, 6
140, 195, 2
196, 195, 17
195, 91, 16
91, 192, 7
192, 196, 3
195, 33, 24
33, 33, 53
33, 195, 26
33, 196, 15
33, 13, 17
13, 33, 13
196, 33, 24
195, 13, 4
196, 196, 40
196, 122, 2
122, 168, 2
168, 91, 17
6, 45, 6
45, 45, 10
45, 192, 8
192, 5, 19
5, 12, 1
12, 45, 2
45, 146, 4
146, 168, 150
168, 104, 9
104, 91, 11
168, 45, 13
45, 78, 10
78, 13, 40
13, 102, 5
168, 192, 11
192, 168, 12
91, 45, 11
45, 163, 2
163, 168, 6
45, 91, 3
146, 78, 5
78, 102, 14
192, 163, 5
163, 6, 1
6, 78, 5
78, 3, 19
3, 78, 22
78, 78, 70
78, 192, 4
192, 13, 2
13, 168, 9
78, 195, 7
195, 104, 5
104, 192, 1
192, 102, 7
192, 78, 4
78, 197, 1
197, 102, 4
102, 192, 15
192, 197, 2
102, 45, 12
45, 13, 3
13, 265, 6
265, 265, 1420
265, 3, 961
3, 43, 62
43, 3, 86
3, 3, 1392
3, 168, 1396
168, 265, 2455
168, 3, 1294
3, 265, 915
265, 168, 2333
265, 195, 10
195, 340, 10
340, 168, 24
265, 43, 133
43, 265, 93
168, 43, 132
43, 168, 148
43, 43, 46
3, 340, 8
340, 265, 8
340, 3, 10
168, 195, 7
195, 168, 8
168, 340, 14
340, 43, 3
3, 5, 122
5, 3, 140
5, 6, 53
6, 3, 42
3, 197, 22
91, 3, 41
197, 197, 5
197, 6, 7
197, 3, 15
3, 192, 13
192, 3, 17
3, 6, 52
6, 197, 5
197, 5, 21
91, 197, 6
5, 162, 4
162, 5, 5
3, 91, 45
5, 78, 8
78, 162, 1
162, 3, 5
104, 5, 5
104, 174, 6
174, 60, 2
60, 60, 6
60, 5, 2
45, 168, 7
6, 163, 1
192, 45, 4
78, 6, 1
168, 6, 2
163, 78, 6
78, 5, 4
6, 102, 2
102, 13, 4
78, 60, 3
60, 168, 1
78, 168, 25
45, 102, 2
45, 104, 3
104, 13, 11
5, 168, 6
192, 175, 1
175, 5, 1
5, 102, 5
104, 60, 2
60, 13, 2
13, 192, 4
192, 6, 17
78, 91, 7
91, 12, 3
12, 102, 4
91, 104, 4
104, 78, 4
