3, 265, 2368
265, 3, 2008
265, 142, 205
142, 175, 27
175, 142, 55
142, 104, 41
104, 104, 16
104, 3, 160
3, 104, 71
3, 3, 1217
3, 142, 176
142, 142, 318
142, 265, 219
265, 104, 142
3, 175, 78
142, 146, 87
146, 175, 11
175, 146, 10
146, 142, 95
142, 3, 212
265, 175, 22
175, 265, 36
104, 265, 100
265, 146, 88
146, 3, 80
146, 146, 39
265, 265, 2802
3, 146, 107
3, 91, 57
91, 142, 17
265, 119, 37
119, 265, 57
265, 54, 22
54, 265, 13
146, 265, 74
146, 104, 72
119, 3, 6
119, 142, 11
54, 146, 6
54, 3, 2
91, 265, 11
104, 142, 49
54, 142, 2
175, 175, 108
175, 3, 37
91, 175, 6
91, 146, 2
91, 104, 3
3, 192, 38
192, 3, 123
175, 91, 13
91, 3, 54
265, 91, 4
192, 265, 3
265, 192, 5
192, 104, 2
104, 175, 23
175, 192, 4
192, 142, 14
142, 119, 37
175, 119, 3
119, 146, 7
104, 119, 3
142, 91, 2
142, 192, 6
3, 119, 4
146, 119, 2
119, 104, 2
119, 175, 1
175, 104, 9
119, 91, 2
104, 146, 6
119, 119, 1
192, 146, 1
3, 54, 1
3, 6, 128
6, 292, 1
292, 3, 1
3, 168, 950
168, 265, 3637
168, 3, 579
265, 168, 2879
168, 168, 2438
265, 292, 1
292, 265, 1
192, 197, 11
197, 243, 1
243, 141, 1
141, 5, 3
5, 141, 4
141, 141, 4
141, 85, 8
85, 85, 47
85, 3, 2
3, 5, 62
5, 85, 3
3, 85, 1
85, 141, 5
85, 5, 5
5, 3, 179
6, 85, 3
85, 6, 3
6, 3, 45
3, 4, 40
4, 4, 711
4, 3, 44
4, 265, 108
168, 102, 29
102, 168, 49
102, 265, 54
265, 102, 63
168, 146, 133
146, 168, 108
3, 78, 8
78, 265, 17
265, 43, 1276
43, 168, 489
43, 265, 182
168, 43, 88
168, 340, 4
340, 265, 3
43, 3, 706
3, 43, 27
168, 195, 9
195, 340, 17
340, 340, 13
340, 3, 14
340, 168, 8
43, 43, 61
43, 195, 16
265, 195, 1
4, 240, 250
240, 240, 808
240, 13, 530
13, 4, 574
4, 78, 389
78, 4, 60
4, 13, 147
13, 78, 335
78, 240, 140
78, 13, 602
13, 13, 440
13, 265, 171
265, 240, 198
240, 4, 169
265, 4, 66
13, 240, 229
240, 78, 75
265, 13, 44
240, 265, 40
265, 78, 22
168, 122, 1
122, 3, 1
265, 5, 27
5, 5, 167
5, 195, 53
195, 206, 3
206, 60, 3
60, 60, 2
60, 12, 2
12, 174, 2
174, 6, 4
6, 41, 2
41, 41, 2
41, 6, 2
6, 5, 97
5, 63, 2
63, 63, 14
63, 6, 6
6, 221, 3
221, 221, 19
221, 27, 18
27, 174, 42
174, 174, 175
174, 102, 4
102, 102, 149
102, 5, 53
5, 197, 162
197, 192, 295
192, 6, 183
6, 33, 118
33, 5, 145
195, 5, 75
195, 195, 22
195, 91, 5
91, 5, 88
5, 192, 61
6, 91, 105
91, 102, 23
91, 197, 10
197, 3, 21
91, 174, 1
174, 4, 2
4, 5, 7
192, 102, 5
5, 6, 73
6, 125, 61
125, 5, 31
5, 91, 24
142, 102, 39
5, 142, 11
142, 4, 40
4, 192, 1
102, 4, 9
4, 33, 8
33, 3, 11
3, 102, 23
102, 91, 17
3, 13, 66
13, 102, 95
102, 13, 43
192, 192, 195
197, 125, 6
125, 125, 192
125, 91, 43
91, 258, 12
258, 311, 12
311, 240, 12
240, 174, 12
174, 175, 12
175, 33, 1
195, 4, 5
4, 54, 1
54, 102, 6
91, 195, 16
195, 102, 9
168, 5, 14
5, 13, 23
102, 6, 83
33, 13, 3
13, 5, 18
13, 199, 34
199, 5, 42
5, 140, 82
140, 33, 4
140, 27, 25
174, 27, 37
27, 221, 21
221, 3, 23
3, 221, 22
27, 6, 15
6, 199, 17
199, 201, 14
201, 5, 8
140, 197, 48
192, 140, 47
140, 91, 47
91, 6, 61
6, 142, 20
4, 102, 6
192, 4, 9
4, 6, 9
6, 6, 88
6, 66, 7
66, 63, 5
6, 11, 7
11, 45, 9
45, 33, 9
33, 192, 29
192, 33, 25
3, 197, 117
192, 5, 24
6, 192, 31
33, 6, 16
192, 243, 9
243, 125, 10
175, 191, 11
191, 122, 11
122, 268, 12
268, 3, 2
102, 195, 14
195, 6, 6
6, 195, 4
195, 3, 13
3, 125, 7
125, 3, 14
13, 197, 1
197, 140, 3
140, 5, 3
5, 27, 1
27, 3, 1
140, 102, 3
102, 3, 22
13, 3, 9
3, 33, 8
33, 142, 3
4, 174, 3
174, 197, 1
197, 142, 3
142, 162, 1
162, 162, 91
162, 114, 78
114, 114, 6
114, 162, 78
162, 168, 1
168, 6, 9
66, 45, 1
45, 45, 9
45, 5, 10
91, 125, 1
197, 199, 11
199, 197, 11
5, 12, 3
12, 102, 1
6, 102, 36
197, 6, 9
3, 240, 7
240, 5, 12
5, 125, 15
192, 125, 19
125, 192, 7
197, 195, 1
142, 5, 4
6, 4, 7
142, 13, 10
5, 33, 18
5, 206, 1
206, 195, 1
221, 102, 9
102, 221, 8
221, 192, 4
192, 120, 3
120, 6, 3
13, 91, 8
4, 142, 10
102, 140, 3
33, 221, 1
91, 91, 54
192, 220, 1
220, 102, 1
140, 4, 2
91, 33, 15
201, 13, 6
197, 197, 9
3, 140, 7
140, 3, 9
6, 196, 4
196, 196, 5
196, 102, 6
102, 142, 59
78, 78, 377
265, 66, 1
66, 5, 1
33, 125, 3
197, 5, 12
5, 102, 14
6, 45, 2
45, 3, 2
5, 4, 6
4, 91, 6
265, 340, 4
102, 78, 130
78, 102, 164
78, 142, 275
142, 78, 280
78, 146, 76
146, 78, 79
146, 102, 9
102, 146, 11
142, 195, 6
195, 142, 8
6, 78, 23
146, 195, 4
195, 78, 13
78, 195, 9
78, 6, 8
146, 6, 2
142, 6, 12
78, 5, 2
63, 11, 1
6, 197, 6
268, 45, 10
6, 201, 1
201, 206, 8
206, 5, 8
5, 220, 4
220, 220, 5
220, 3, 4
3, 199, 12
199, 199, 10
199, 102, 3
33, 197, 6
197, 91, 5
3, 195, 14
192, 91, 13
13, 140, 2
33, 33, 8
140, 142, 2
11, 192, 2
3, 174, 1
